station_id,strdate,element,value,mflag,qflag,sflag,obstime
USW00094846,20120106,SNOW,0,,,X,
USW00094846,20120106,SNWD,0,,,X,
USW00094846,20120106,AWND,36,,,W,
USW00014819,20120106,TMAX,128,,,W,
USW00014819,20120106,TMIN,50,,,W,
USW00014819,20120106,PRCP,0,,,W,
USW00014819,20120106,AWND,39,,,W,
USW00094846,20120107,TMAX,67,,,X,2400
USW00094846,20120107,TMIN,-22,,,X,2400
USW00094846,20120107,PRCP,0,,,X,2400
USW00094846,20120107,SNOW,0,,,X,
USW00094846,20120107,SNWD,0,,,X,
USW00094846,20120107,AWND,30,,,W,
USW00014819,20120107,TMAX,67,,,W,
USW00014819,20120107,TMIN,-10,,,W,
USW00014819,20120107,PRCP,0,,,W,
USW00014819,20120107,AWND,32,,,W,
USW00094846,20120108,TMAX,56,,,X,2400
USW00094846,20120108,TMIN,-39,,,X,2400
USW00094846,20120108,PRCP,0,,,X,2400
USW00094846,20120108,SNOW,0,,,X,
USW00094846,20120108,SNWD,0,,,X,
USW00094846,20120108,AWND,12,,,W,
USW00014819,20120108,TMAX,44,,,W,
USW00014819,20120108,TMIN,-32,,,W,
USW00014819,20120108,PRCP,0,,,W,
USW00014819,20120108,AWND,8,,,W,
USW00094846,20120109,TMAX,78,,,X,2400
USW00094846,20120109,TMIN,-39,,,X,2400
USW00094846,20120109,PRCP,0,,,X,2400
USW00094846,20120109,SNOW,0,,,X,
USW00094846,20120109,SNWD,0,,,X,
USW00094846,20120109,AWND,49,,,W,
USW00014819,20120109,TMAX,78,,,W,
USW00014819,20120109,TMIN,-32,,,W,
USW00014819,20120109,PRCP,0,,,W,
USW00014819,20120109,AWND,50,,,W,
USW00094846,20120110,TMAX,111,,,X,2400
USW00094846,20120110,TMIN,-39,,,X,2400
USW00094846,20120110,PRCP,0,,,X,2400
USW00094846,20120110,SNOW,0,,,X,
USW00094846,20120110,SNWD,0,,,X,
USW00094846,20120110,AWND,24,,,W,
USW00014819,20120110,TMAX,111,,,W,
USW00014819,20120110,TMIN,-16,,,W,
USW00014819,20120110,PRCP,0,,,W,
USW00014819,20120110,AWND,22,,,W,
USW00094846,20120111,TMAX,122,,,X,2400
USW00094846,20120111,TMIN,-28,,,X,2400
USW00094846,20120111,PRCP,0,,,X,2400
USW00094846,20120111,SNOW,0,,,X,
USW00094846,20120111,SNWD,0,,,X,
USW00094846,20120111,AWND,12,,,W,
USW00014819,20120111,TMAX,106,,,W,
USW00014819,20120111,TMIN,0,,,W,
USW00014819,20120111,PRCP,0,,,W,
USW00014819,20120111,AWND,17,,,W,
USW00094846,20120112,TMAX,28,,,X,2400
USW00094846,20120112,TMIN,-72,,,X,2400
USW00094846,20120112,PRCP,89,,,X,2400
USW00094846,20120112,SNOW,119,,,X,
USW00094846,20120112,SNWD,0,,,X,
USW00094846,20120112,AWND,52,,,W,
USW00014819,20120112,TMAX,28,,,W,
USW00014819,20120112,TMIN,-71,,,W,
USW00014819,20120112,PRCP,15,,,W,
USW00014819,20120112,AWND,48,,,W,
USW00094846,20120113,TMAX,-56,,,X,2400
USW00094846,20120113,TMIN,-83,,,X,2400
USW00094846,20120113,PRCP,3,,,X,2400
USW00094846,20120113,SNOW,5,,,X,
USW00094846,20120113,SNWD,102,,,X,
USW00094846,20120113,AWND,55,,,W,
USW00014819,20120113,TMAX,-55,,,W,
USW00014819,20120113,TMIN,-88,,,W,
USW00014819,20120113,PRCP,0,T,,W,
USW00014819,20120113,AWND,57,,,W,
USW00094846,20120114,TMAX,-72,,,X,2400
USW00094846,20120114,TMIN,-133,,,X,2400
USW00094846,20120114,PRCP,0,T,,X,2400
USW00094846,20120114,SNOW,5,,,X,
USW00094846,20120114,SNWD,102,,,X,
USW00094846,20120114,AWND,23,,,W,
USW00014819,20120114,TMAX,-60,,,W,
USW00014819,20120114,TMIN,-99,,,W,
USW00014819,20120114,PRCP,0,T,,W,
USW00014819,20120114,AWND,26,,,W,
USW00094846,20120115,TMAX,-6,,,X,2400
USW00094846,20120115,TMIN,-150,,,X,2400
USW00094846,20120115,PRCP,0,T,,X,2400
USW00094846,20120115,SNOW,0,T,,X,
USW00094846,20120115,SNWD,102,,,X,
USW00094846,20120115,AWND,48,,,W,
USW00014819,20120115,TMAX,-5,,,W,
USW00014819,20120115,TMIN,-105,,,W,
USW00014819,20120115,PRCP,0,T,,W,
USW00014819,20120115,AWND,42,,,W,
USW00094846,20120116,TMAX,72,,,X,2400
USW00094846,20120116,TMIN,-11,,,X,2400
USW00094846,20120116,PRCP,10,,,X,2400
USW00094846,20120116,SNOW,0,,,X,
USW00094846,20120116,SNWD,102,,,X,
USW00094846,20120116,AWND,43,,,W,
USW00014819,20120116,TMAX,67,,,W,
USW00014819,20120116,TMIN,-10,,,W,
USW00014819,20120116,PRCP,10,,,W,
USW00014819,20120116,AWND,42,,,W,
USW00094846,20120117,TMAX,39,,,X,2400
USW00094846,20120117,TMIN,-83,,,X,2400
USW00094846,20120117,PRCP,41,,,X,2400
USW00094846,20120117,SNOW,10,,,X,
USW00094846,20120117,SNWD,0,,,X,
USW00094846,20120117,AWND,67,,,W,
USW00014819,20120117,TMAX,56,,,W,
USW00014819,20120117,TMIN,-82,,,W,
USW00014819,20120117,PRCP,18,,,W,
USW00014819,20120117,AWND,61,,,W,
USW00094846,20120118,TMAX,-33,,,X,2400
USW00094846,20120118,TMIN,-122,,,X,2400
USW00094846,20120118,PRCP,0,,,X,2400
USW00094846,20120118,SNOW,0,,,X,
USW00094846,20120118,SNWD,0,,,X,
USW00094846,20120118,AWND,48,,,W,
USW00014819,20120118,TMAX,-32,,,W,
USW00014819,20120118,TMIN,-116,,,W,
USW00014819,20120118,PRCP,0,,,W,
USW00014819,20120118,AWND,43,,,W,
USW00094846,20120119,TMAX,-22,,,X,2400
USW00094846,20120119,TMIN,-150,,,X,2400
USW00094846,20120119,PRCP,3,,,X,2400
USW00094846,20120119,SNOW,3,,,X,
USW00094846,20120119,SNWD,0,,,X,
USW00094846,20120119,AWND,57,,,W,
USW00014819,20120119,TMAX,-21,,,W,
USW00014819,20120119,TMIN,-143,,,W,
USW00014819,20120119,PRCP,0,T,,W,
USW00014819,20120119,AWND,55,,,W,
USW00094846,20120120,TMAX,-44,,,X,2400
USW00094846,20120120,TMIN,-150,,,X,2400
USW00094846,20120120,PRCP,137,,,X,2400
USW00094846,20120120,SNOW,137,,,X,
USW00094846,20120120,SNWD,0,,,X,
USW00094846,20120120,AWND,22,,,W,
USW00014819,20120120,TMAX,-49,,,W,
USW00014819,20120120,TMIN,-143,,,W,
USW00014819,20120120,PRCP,86,,,W,
USW00014819,20120120,AWND,30,,,W,
USW00094846,20120121,TMAX,-39,,,X,2400
USW00094846,20120121,TMIN,-89,,,X,2400
USW00094846,20120121,PRCP,0,T,,X,2400
USW00094846,20120121,SNOW,0,T,,X,
USW00094846,20120121,SNWD,127,,,X,
USW00094846,20120121,AWND,34,,,W,
USW00014819,20120121,TMAX,-32,,,W,
USW00014819,20120121,TMIN,-88,,,W,
USW00014819,20120121,PRCP,0,T,,W,
USW00014819,20120121,AWND,38,,,W,
USW00094846,20120122,TMAX,44,,,X,2400
USW00094846,20120122,TMIN,-89,,,X,2400
USW00094846,20120122,PRCP,81,,,X,2400
USW00094846,20120122,SNOW,0,T,,X,
USW00094846,20120122,SNWD,102,,,X,
USW00094846,20120122,AWND,57,,,W,
USW00014819,20120122,TMAX,61,,,W,
USW00014819,20120122,TMIN,-88,,,W,
USW00014819,20120122,PRCP,112,,,W,
USW00014819,20120122,AWND,51,,,W,
USW00094846,20120123,TMAX,78,,,X,2400
USW00094846,20120123,TMIN,-11,,,X,2400
USW00094846,20120123,PRCP,74,,,X,2400
USW00094846,20120123,SNOW,0,T,,X,
USW00094846,20120123,SNWD,0,,,X,
USW00094846,20120123,AWND,75,,,W,
USW00014819,20120123,TMAX,78,,,W,
USW00014819,20120123,TMIN,-10,,,W,
USW00014819,20120123,PRCP,64,,,W,
USW00014819,20120123,AWND,79,,,W,
USW00094846,20120124,TMAX,28,,,X,2400
USW00094846,20120124,TMIN,-39,,,X,2400
USW00094846,20120124,PRCP,0,,,X,2400
USW00094846,20120124,SNOW,0,,,X,
USW00094846,20120124,SNWD,0,,,X,
USW00094846,20120124,AWND,40,,,W,
USW00014819,20120124,TMAX,28,,,W,
USW00014819,20120124,TMIN,-32,,,W,
USW00014819,20120124,PRCP,0,,,W,
USW00014819,20120124,AWND,42,,,W,
USW00094846,20120125,TMAX,22,,,X,2400
USW00094846,20120125,TMIN,-56,,,X,2400
USW00094846,20120125,PRCP,0,,,X,2400
USW00094846,20120125,SNOW,0,,,X,
USW00094846,20120125,SNWD,0,,,X,
USW00094846,20120125,AWND,18,,,W,
USW00014819,20120125,TMAX,11,,,W,
USW00014819,20120125,TMIN,-43,,,W,
USW00014819,20120125,PRCP,0,,,W,
USW00014819,20120125,AWND,18,,,W,
USW00094846,20120126,TMAX,33,,,X,2400
USW00094846,20120126,TMIN,0,,,X,2400
USW00094846,20120126,PRCP,0,T,,X,2400
USW00094846,20120126,SNOW,0,,,X,
USW00094846,20120126,SNWD,0,,,X,
USW00094846,20120126,AWND,19,,,W,
USW00014819,20120126,TMAX,28,,,W,
USW00014819,20120126,TMIN,0,,,W,
USW00014819,20120126,PRCP,0,T,,W,
USW00014819,20120126,AWND,20,,,W,
USW00094846,20120127,TMAX,61,,,X,2400
USW00094846,20120127,TMIN,11,,,X,2400
USW00094846,20120127,PRCP,10,,,X,2400
USW00094846,20120127,SNOW,5,,,X,
USW00094846,20120127,SNWD,0,,,X,
USW00094846,20120127,AWND,39,,,W,
USW00014819,20120127,TMAX,61,,,W,
USW00014819,20120127,TMIN,6,,,W,
USW00014819,20120127,PRCP,5,,,W,
USW00014819,20120127,AWND,41,,,W,
USW00094846,20120128,TMAX,11,,,X,2400
USW00094846,20120128,TMIN,-33,,,X,2400
USW00094846,20120128,PRCP,13,,,X,2400
USW00094846,20120128,SNOW,15,,,X,
USW00094846,20120128,SNWD,25,,,X,
USW00094846,20120128,AWND,65,,,W,
USW00014819,20120128,TMAX,6,,,W,
USW00014819,20120128,TMIN,-32,,,W,
USW00014819,20120128,PRCP,8,,,W,
USW00014819,20120128,AWND,69,,,W,
USW00094846,20120129,TMAX,-6,,,X,2400
USW00094846,20120129,TMIN,-61,,,X,2400
USW00094846,20120129,PRCP,0,T,,X,2400
USW00094846,20120129,SNOW,5,,,X,
USW00094846,20120129,SNWD,0,,,X,
USW00094846,20120129,AWND,48,,,W,
USW00014819,20120129,TMAX,-5,,,W,
USW00014819,20120129,TMIN,-60,,,W,
USW00014819,20120129,PRCP,0,T,,W,
USW00014819,20120129,AWND,55,,,W,
USW00094846,20120130,TMAX,117,,,X,2400
USW00094846,20120130,TMIN,-56,,,X,2400
USW00094846,20120130,PRCP,0,,,X,2400
USW00094846,20120130,SNOW,0,,,X,
USW00094846,20120130,SNWD,0,,,X,
USW00094846,20120130,AWND,56,,,W,
USW00014819,20120130,TMAX,117,,,W,
USW00014819,20120130,TMIN,-55,,,W,
USW00014819,20120130,PRCP,0,,,W,
USW00014819,20120130,AWND,51,,,W,
USW00094846,20120131,TMAX,139,,,X,2400
USW00094846,20120131,TMIN,61,,,X,2400
USW00094846,20120131,PRCP,0,,,X,2400
USW00094846,20120131,SNOW,0,,,X,
USW00094846,20120131,SNWD,0,,,X,
USW00094846,20120131,AWND,66,,,W,
USW00014819,20120131,TMAX,144,,,W,
USW00014819,20120131,TMIN,61,,,W,
USW00014819,20120131,PRCP,0,,,W,
USW00014819,20120131,AWND,51,,,W,
USW00094846,20120201,TMAX,89,,,X,2400
USW00094846,20120201,TMIN,0,,,X,2400
USW00094846,20120201,PRCP,0,,,X,2400
USW00094846,20120201,SNOW,0,,,X,
USW00094846,20120201,SNWD,0,,,X,
USW00094846,20120201,AWND,23,,,W,
USW00014819,20120201,TMAX,78,,,W,
USW00014819,20120201,TMIN,11,,,W,
USW00014819,20120201,PRCP,0,,,W,
USW00014819,20120201,AWND,19,,,W,
USW00094846,20120202,TMAX,61,,,X,2400
USW00094846,20120202,TMIN,-6,,,X,2400
USW00094846,20120202,PRCP,0,,,X,2400
USW00094846,20120202,SNOW,0,,,X,
USW00094846,20120202,SNWD,0,,,X,
USW00094846,20120202,AWND,17,,,W,
USW00014819,20120202,TMAX,67,,,W,
USW00014819,20120202,TMIN,6,,,W,
USW00014819,20120202,PRCP,0,,,W,
USW00014819,20120202,AWND,17,,,W,
USW00094846,20120203,TMAX,39,,,X,2400
USW00094846,20120203,TMIN,6,,,X,2400
USW00094846,20120203,PRCP,0,,,X,2400
USW00094846,20120203,SNOW,0,,,X,
USW00094846,20120203,SNWD,0,,,X,
USW00094846,20120203,AWND,33,,,W,
USW00014819,20120203,TMAX,44,,,W,
USW00014819,20120203,TMIN,11,,,W,
USW00014819,20120203,PRCP,0,T,,W,
USW00014819,20120203,AWND,38,,,W,
USW00094846,20120204,TMAX,56,,,X,2400
USW00094846,20120204,TMIN,-17,,,X,2400
USW00094846,20120204,PRCP,0,,,X,2400
USW00094846,20120204,SNOW,0,,,X,
USW00094846,20120204,SNWD,0,,,X,
USW00094846,20120204,AWND,43,,,W,
USW00014819,20120204,TMAX,39,,,W,
USW00014819,20120204,TMIN,-16,,,W,
USW00014819,20120204,PRCP,8,,,W,
USW00014819,20120204,AWND,43,,,W,
USW00094846,20120205,TMAX,72,,,X,2400
USW00094846,20120205,TMIN,-17,,,X,2400
USW00094846,20120205,PRCP,0,,,X,2400
USW00094846,20120205,SNOW,0,,,X,
USW00094846,20120205,SNWD,0,,,X,
USW00094846,20120205,AWND,24,,,W,
USW00014819,20120205,TMAX,61,,,W,
USW00014819,20120205,TMIN,-27,,,W,
USW00014819,20120205,PRCP,0,,,W,
USW00014819,20120205,AWND,22,,,W,
USW00094846,20120206,TMAX,6,,,X,2400
USW00094846,20120206,TMIN,-11,,,X,2400
USW00094846,20120206,PRCP,0,,,X,2400
USW00094846,20120206,SNOW,0,,,X,
USW00094846,20120206,SNWD,0,,,X,
USW00094846,20120206,AWND,48,,,W,
USW00014819,20120206,TMAX,0,,,W,
USW00014819,20120206,TMIN,-16,,,W,
USW00014819,20120206,PRCP,0,,,W,
USW00014819,20120206,AWND,51,,,W,
USW00094846,20120207,TMAX,22,,,X,2400
USW00094846,20120207,TMIN,-17,,,X,2400
USW00094846,20120207,PRCP,3,,,X,2400
USW00094846,20120207,SNOW,0,T,,X,
USW00094846,20120207,SNWD,0,,,X,
USW00094846,20120207,AWND,54,,,W,
USW00014819,20120207,TMAX,22,,,W,
USW00014819,20120207,TMIN,-16,,,W,
USW00014819,20120207,PRCP,0,T,,W,
USW00014819,20120207,AWND,50,,,W,
USW00094846,20120208,TMAX,28,,,X,2400
USW00094846,20120208,TMIN,-39,,,X,2400
USW00094846,20120208,PRCP,0,,,X,2400
USW00094846,20120208,SNOW,0,,,X,
USW00094846,20120208,SNWD,0,,,X,
USW00094846,20120208,AWND,36,,,W,
USW00014819,20120208,TMAX,22,,,W,
USW00014819,20120208,TMIN,-38,,,W,
USW00014819,20120208,PRCP,0,,,W,
USW00014819,20120208,AWND,40,,,W,
USW00094846,20120209,TMAX,22,,,X,2400
USW00094846,20120209,TMIN,-61,,,X,2400
USW00094846,20120209,PRCP,0,,,X,2400
USW00094846,20120209,SNOW,0,,,X,
USW00094846,20120209,SNWD,0,,,X,
USW00094846,20120209,AWND,44,,,W,
USW00014819,20120209,TMAX,17,,,W,
USW00014819,20120209,TMIN,-66,,,W,
USW00014819,20120209,PRCP,0,,,W,
USW00014819,20120209,AWND,47,,,W,
USW00094846,20120210,TMAX,22,,,X,2400
USW00094846,20120210,TMIN,-100,,,X,2400
USW00094846,20120210,PRCP,48,,,X,2400
USW00094846,20120210,SNOW,38,,,X,
USW00094846,20120210,SNWD,0,,,X,
USW00094846,20120210,AWND,66,,,W,
USW00014819,20120210,TMAX,17,,,W,
USW00014819,20120210,TMIN,-93,,,W,
USW00014819,20120210,PRCP,5,,,W,
USW00014819,20120210,AWND,60,,,W,
USW00094846,20120211,TMAX,-67,,,X,2400
USW00094846,20120211,TMIN,-122,,,X,2400
USW00094846,20120211,PRCP,0,,,X,2400
USW00094846,20120211,SNOW,0,,,X,
USW00094846,20120211,SNWD,25,,,X,
USW00094846,20120211,AWND,68,,,W,
USW00014819,20120211,TMAX,-66,,,W,
USW00014819,20120211,TMIN,-121,,,W,
USW00014819,20120211,PRCP,0,,,W,
USW00014819,20120211,AWND,65,,,W,
USW00094846,20120212,TMAX,17,,,X,2400
USW00094846,20120212,TMIN,-89,,,X,2400
USW00094846,20120212,PRCP,0,,,X,2400
USW00094846,20120212,SNOW,0,,,X,
USW00094846,20120212,SNWD,25,,,X,
USW00094846,20120212,AWND,53,,,W,
USW00014819,20120212,TMAX,22,,,W,
USW00014819,20120212,TMIN,-93,,,W,
USW00014819,20120212,PRCP,0,,,W,
USW00014819,20120212,AWND,50,,,W,
USW00094846,20120213,TMAX,22,,,X,2400
USW00094846,20120213,TMIN,-94,,,X,2400
USW00094846,20120213,PRCP,8,,,X,2400
USW00094846,20120213,SNOW,8,,,X,
USW00094846,20120213,SNWD,0,,,X,
USW00094846,20120213,AWND,38,,,W,
USW00014819,20120213,TMAX,28,,,W,
USW00014819,20120213,TMIN,-71,,,W,
USW00014819,20120213,PRCP,3,,,W,
USW00014819,20120213,AWND,39,,,W,
USW00094846,20120214,TMAX,22,,,X,2400
USW00094846,20120214,TMIN,-17,,,X,2400
USW00094846,20120214,PRCP,0,T,,X,2400
USW00094846,20120214,SNOW,0,T,,X,
USW00094846,20120214,SNWD,0,T,,X,
USW00094846,20120214,AWND,35,,,W,
USW00014819,20120214,TMAX,22,,,W,
USW00014819,20120214,TMIN,-16,,,W,
USW00014819,20120214,PRCP,0,T,,W,
USW00014819,20120214,AWND,34,,,W,
USW00094846,20120215,TMAX,61,,,X,2400
USW00094846,20120215,TMIN,-11,,,X,2400
USW00094846,20120215,PRCP,41,,,X,2400
USW00094846,20120215,SNOW,0,,,X,
USW00094846,20120215,SNWD,0,,,X,
USW00094846,20120215,AWND,39,,,W,
USW00014819,20120215,TMAX,56,,,W,
USW00014819,20120215,TMIN,0,,,W,
USW00014819,20120215,PRCP,33,,,W,
USW00014819,20120215,AWND,39,,,W,
USW00094846,20120216,TMAX,83,,,X,2400
USW00094846,20120216,TMIN,11,,,X,2400
USW00094846,20120216,PRCP,5,,,X,2400
USW00094846,20120216,SNOW,0,,,X,
USW00094846,20120216,SNWD,0,,,X,
USW00094846,20120216,AWND,42,,,W,
USW00014819,20120216,TMAX,83,,,W,
USW00014819,20120216,TMIN,11,,,W,
USW00014819,20120216,PRCP,20,,,W,
USW00014819,20120216,AWND,42,,,W,
USW00094846,20120217,TMAX,94,,,X,2400
USW00094846,20120217,TMIN,-22,,,X,2400
USW00094846,20120217,PRCP,0,,,X,2400
USW00094846,20120217,SNOW,0,,,X,
USW00094846,20120217,SNWD,0,,,X,
USW00094846,20120217,AWND,38,,,W,
USW00014819,20120217,TMAX,94,,,W,
USW00014819,20120217,TMIN,-27,,,W,
USW00014819,20120217,PRCP,0,,,W,
USW00014819,20120217,AWND,38,,,W,
USW00094846,20120218,TMAX,39,,,X,2400
USW00094846,20120218,TMIN,-28,,,X,2400
USW00094846,20120218,PRCP,0,,,X,2400
USW00094846,20120218,SNOW,0,,,X,
USW00094846,20120218,SNWD,0,,,X,
USW00094846,20120218,AWND,36,,,W,
USW00014819,20120218,TMAX,28,,,W,
USW00014819,20120218,TMIN,-16,,,W,
USW00014819,20120218,PRCP,0,,,W,
USW00014819,20120218,AWND,38,,,W,
USW00094846,20120219,TMAX,33,,,X,2400
USW00094846,20120219,TMIN,-44,,,X,2400
USW00094846,20120219,PRCP,0,,,X,2400
USW00094846,20120219,SNOW,0,,,X,
USW00094846,20120219,SNWD,0,,,X,
USW00094846,20120219,AWND,25,,,W,
USW00014819,20120219,TMAX,28,,,W,
USW00014819,20120219,TMIN,-32,,,W,
USW00014819,20120219,PRCP,0,,,W,
USW00014819,20120219,AWND,34,,,W,
USW00094846,20120220,TMAX,72,,,X,2400
USW00094846,20120220,TMIN,-56,,,X,2400
USW00094846,20120220,PRCP,0,,,X,2400
USW00094846,20120220,SNOW,0,,,X,
USW00094846,20120220,SNWD,0,,,X,
USW00094846,20120220,AWND,43,,,W,
USW00014819,20120220,TMAX,61,,,W,
USW00014819,20120220,TMIN,-38,,,W,
USW00014819,20120220,PRCP,0,,,W,
USW00014819,20120220,AWND,41,,,W,
USW00094846,20120221,TMAX,50,,,X,2400
USW00094846,20120221,TMIN,6,,,X,2400
USW00094846,20120221,PRCP,15,,,X,2400
USW00094846,20120221,SNOW,5,,,X,
USW00094846,20120221,SNWD,0,T,,X,
USW00094846,20120221,AWND,53,,,W,
USW00014819,20120221,TMAX,50,,,W,
USW00014819,20120221,TMIN,6,,,W,
USW00014819,20120221,PRCP,18,,,W,
USW00014819,20120221,AWND,58,,,W,
USW00094846,20120222,TMAX,67,,,X,2400
USW00094846,20120222,TMIN,-17,,,X,2400
USW00094846,20120222,PRCP,3,,,X,2400
USW00094846,20120222,SNOW,3,,,X,
USW00094846,20120222,SNWD,0,T,,X,
USW00094846,20120222,AWND,27,,,W,
USW00014819,20120222,TMAX,56,,,W,
USW00014819,20120222,TMIN,0,,,W,
USW00014819,20120222,PRCP,0,T,,W,
USW00014819,20120222,AWND,29,,,W,
USW00094846,20120223,TMAX,44,,,X,2400
USW00094846,20120223,TMIN,-17,,,X,2400
USW00094846,20120223,PRCP,84,,,X,2400
USW00094846,20120223,SNOW,0,T,,X,
USW00094846,20120223,SNWD,0,,,X,
USW00094846,20120223,AWND,32,,,W,
USW00014819,20120223,TMAX,39,,,W,
USW00014819,20120223,TMIN,-21,,,W,
USW00014819,20120223,PRCP,28,,,W,
USW00014819,20120223,AWND,36,,,W,
USW00094846,20120224,TMAX,17,,,X,2400
USW00094846,20120224,TMIN,-33,,,X,2400
USW00094846,20120224,PRCP,137,,,X,2400
USW00094846,20120224,SNOW,89,,,X,
USW00094846,20120224,SNWD,76,,,X,
USW00094846,20120224,AWND,72,,,W,
USW00014819,20120224,TMAX,17,,,W,
USW00014819,20120224,TMIN,-38,,,W,
USW00014819,20120224,PRCP,61,,,W,
USW00014819,20120224,AWND,72,,,W,
USW00094846,20120225,TMAX,-28,,,X,2400
USW00094846,20120225,TMIN,-89,,,X,2400
USW00094846,20120225,PRCP,0,,,X,2400
USW00094846,20120225,SNOW,0,,,X,
USW00094846,20120225,SNWD,51,,,X,
USW00094846,20120225,AWND,48,,,W,
USW00014819,20120225,TMAX,-16,,,W,
USW00014819,20120225,TMIN,-71,,,W,
USW00014819,20120225,PRCP,0,,,W,
USW00014819,20120225,AWND,46,,,W,
USW00094846,20120226,TMAX,117,,,X,2400
USW00094846,20120226,TMIN,-83,,,X,2400
USW00094846,20120226,PRCP,0,,,X,2400
USW00094846,20120226,SNOW,0,,,X,
USW00094846,20120226,SNWD,25,,,X,
USW00094846,20120226,AWND,62,,,W,
USW00014819,20120226,TMAX,111,,,W,
USW00014819,20120226,TMIN,-55,,,W,
USW00014819,20120226,PRCP,0,,,W,
USW00014819,20120226,AWND,59,,,W,
USW00094846,20120227,TMAX,44,,,X,2400
USW00094846,20120227,TMIN,-39,,,X,2400
USW00094846,20120227,PRCP,0,,,X,2400
USW00094846,20120227,SNOW,0,,,X,
USW00094846,20120227,SNWD,0,,,X,
USW00094846,20120227,AWND,51,,,W,
USW00014819,20120227,TMAX,44,,,W,
USW00014819,20120227,TMIN,-27,,,W,
USW00014819,20120227,PRCP,0,,,W,
USW00014819,20120227,AWND,48,,,W,
USW00094846,20120228,TMAX,67,,,X,2400
USW00094846,20120229,TMAX,150,,,X,2400
USW00094846,20120228,TMIN,-50,,,X,2400
USW00094846,20120229,TMIN,17,,,X,2400
USW00094846,20120228,PRCP,28,,,X,2400
USW00094846,20120229,PRCP,46,,,X,2400
USW00094846,20120228,SNOW,0,,,X,
USW00094846,20120229,SNOW,0,T,,X,
USW00094846,20120228,SNWD,0,,,X,
USW00094846,20120229,SNWD,0,,,X,
USW00094846,20120228,AWND,39,,,W,
USW00094846,20120229,AWND,80,,,W,
USW00014819,20120229,TMAX,156,,,W,
USW00014819,20120229,TMIN,17,,,W,
USW00014819,20120229,PRCP,48,,,W,
USW00014819,20120229,AWND,87,,,W,
USW00094846,20120301,TMAX,44,,,X,2400
USW00094846,20120301,TMIN,17,,,X,2400
USW00094846,20120301,PRCP,0,T,,X,2400
USW00094846,20120301,SNOW,0,,,X,
USW00094846,20120301,SNWD,0,,,X,
USW00094846,20120301,AWND,32,,,W,
USW00014819,20120301,TMAX,39,,,W,
USW00014819,20120301,TMIN,17,,,W,
USW00014819,20120301,PRCP,0,T,,W,
USW00014819,20120301,AWND,37,,,W,
USW00094846,20120302,TMAX,44,,,X,2400
USW00094846,20120302,TMIN,11,,,X,2400
USW00094846,20120302,PRCP,48,,,X,2400
USW00094846,20120302,SNOW,0,T,,X,
USW00094846,20120302,SNWD,0,,,X,
USW00094846,20120302,AWND,63,,,W,
USW00014819,20120302,TMAX,50,,,W,
USW00014819,20120302,TMIN,17,,,W,
USW00014819,20120302,PRCP,48,,,W,
